Power,Result,PatternRIS0,PatternRIS1
10.0,-68.02603244781494,0,0
10.0,-70.57883739471436,0,0
10.0,-72.22730159759521,0,0
10.0,-67.43938446044922,0,1
10.0,-70.92421531677246,0,1
10.0,-72.26078033447266,0,1
10.0,-68.10728073120117,0,2
10.0,-71.12878322601318,0,2
10.0,-72.49977111816406,0,2
10.0,-67.98492431640625,1,0
10.0,-71.40114307403564,1,0
10.0,-72.44690418243408,1,0
10.0,-69.682936668396,1,1
10.0,-71.78852081298828,1,1
10.0,-72.41770267486572,1,1
10.0,-70.01322746276855,1,2
10.0,-72.03203201293945,1,2
10.0,-72.51518726348877,1,2
10.0,-70.5605697631836,2,0
10.0,-71.98591709136963,2,0
10.0,-72.57549285888672,2,0
10.0,-70.49916744232178,2,1
10.0,-72.13512897491455,2,1
10.0,-72.57646560668945,2,1
10.0,-70.87745189666748,2,2
10.0,-72.25870132446289,2,2
10.0,-72.54306316375732,2,2
